,date,D_obs_0to9,D_obs_10to19,D_obs_20to29,D_obs_30to39,D_obs_40to49,D_obs_50to59,D_obs_60to69,D_obs_70to79,D_obs_80plus,D_obs_AgeUnknown,D_obs_GenMale,D_obs_GenFemale,D_obs_GenUnkn,D_obs_AfrAmer,D_obs_White,D_obs_Hispanic,D_obs_Asian,D_obs_Other,D_obs_RaceNotAvail,D_obs_0to9_per100k,D_obs_10to19_per100k,D_obs_20to29_per100k,D_obs_30to39_per100k,D_obs_40to49_per100k,D_obs_50to59_per100k,D_obs_60to69_per100k,D_obs_70to79_per100k,D_obs_80plus_per100k,D_obs_male_per100k,D_obs_female_per100k,D_obs_black_per100k,D_obs_hispanic_per100k,D_obs_white_per100k,day
0,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
1,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
2,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
3,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
4,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
5,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
6,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
7,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
8,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
9,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
10,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
11,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
12,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
13,2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
14,2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
15,2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
16,2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
17,2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
18,2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
19,2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
20,2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
21,2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
22,2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
23,2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
24,2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
25,2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
26,2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
27,2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
28,2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
29,2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
30,2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62
31,2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
32,2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
33,2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,5.0,14.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27089082991198216,0.0,0.4582192421970172,65
34,2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
35,2020-04-08,0.0,0.0,0.0,4.0,4.0,16.0,26.0,39.0,35.0,0,78.0,46.0,0,55.0,39.0,0.0,6.0,3.0,21,0.0,0.0,0.0,0.47359304386537165,0.529945919018964,1.8789310761108005,3.5808824947181983,9.112192113047257,15.203113597664803,2.6292317991428704,1.4487449774216243,2.9797991290318038,0.0,1.2764678889774053,67
36,2020-04-09,0.0,0.0,0.0,4.0,4.0,16.0,28.0,43.0,43.0,0,85.0,53.0,0,61.0,45.0,0.0,6.0,5.0,21,0.0,0.0,0.0,0.47359304386537165,0.529945919018964,1.8789310761108005,3.856334994311906,10.046775919513642,18.67811099141676,2.8651884990659484,1.6692061696379585,3.304868124926182,0.0,1.4728475642046983,68
37,2020-04-10,0.0,0.0,0.0,5.0,5.0,20.0,32.0,51.0,58.0,0,102.0,69.0,0,77.0,58.0,0.0,6.0,7.0,23,0.0,0.0,0.0,0.5919913048317147,0.6624323987737052,2.3486638451385007,4.407239993499321,11.915943532446413,25.193731104701673,3.4382261988791383,2.1731174661324366,4.171718780644524,0.0,1.8983368605305002,69
38,2020-04-11,0.0,0.0,1.0,8.0,5.0,22.0,42.0,57.0,71.0,0,121.0,85.0,0,91.0,72.0,0.0,7.0,9.0,27,0.0,0.0,0.12486841990252771,0.9471860877307433,0.6624323987737052,2.583530229652351,5.784502491467859,13.317819242145992,30.840601869548596,4.07868009867035,2.677028762626915,4.930213104398075,0.0,2.3565561027275175,70
39,2020-04-12,0.0,0.0,1.0,9.0,5.0,25.0,51.0,65.0,79.0,0,136.0,99.0,0,104.0,83.0,0.0,8.0,12.0,28,0.0,0.0,0.12486841990252771,1.0655843486970864,0.6624323987737052,2.9358298064231256,7.024038739639543,15.18698685507876,34.31559926330055,4.584301598505518,3.117951147059583,5.634529262169229,0.0,2.716585507310888,71
40,2020-04-13,0.0,0.0,1.0,9.0,5.0,26.0,58.0,73.0,90.0,0,145.0,117.0,0,120.0,93.0,0.0,10.0,15.0,24,0.0,0.0,0.12486841990252771,1.0655843486970864,0.6624323987737052,3.0532629986800512,7.9881224882175195,17.056154468011535,39.09372067970949,4.887674498406618,3.684851355615871,6.501379917887571,0.0,3.043884966023043,72
41,2020-04-14,0.0,0.0,1.0,11.0,6.0,29.0,69.0,83.0,103.0,0,165.0,137.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.12486841990252771,1.3023808706297721,0.7949188785284461,3.405562575450826,9.503111235982912,19.392613984177498,44.740591444556415,5.561836498186842,4.314740476233968,0.0,0.0,0.0,73
42,2020-04-15,0.0,0.0,1.0,5.0,5.0,21.0,62.0,83.0,133.0,103,216.0,197.0,0,152.0,143.0,14.0,11.0,8.0,85,0.0,0.0,0.12486841990252771,0.5919913048317147,0.6624323987737052,2.4660970373954254,8.539027487404935,19.392613984177498,57.77183167112624,7.28094959762641,6.204407838088262,8.235081229324258,2.197571056105559,4.680382259583819,74
43,2020-04-16,0.0,0.0,2.0,6.0,6.0,26.0,70.0,89.0,153.0,107,239.0,220.0,0,166.0,165.0,15.0,12.0,9.0,92,0.0,0.0,0.24973683980505543,0.7103895657980576,0.7949188785284461,3.0532629986800512,9.640837485779764,20.794489693877072,66.45932515550612,8.056235897373668,6.928780326799074,8.993575553077807,2.354540417255956,5.400441068750561,75
44,2020-04-17,0.0,0.0,2.0,8.0,7.0,27.0,77.0,100.0,174.0,99,261.0,233.0,0,182.0,177.0,17.0,14.0,13.0,91,0.0,0.0,0.24973683980505543,0.9471860877307433,0.9274053582831872,3.170696190936976,10.604921234357741,23.364595161659633,75.58119331410501,8.797814097131912,7.338208255200837,9.86042620879615,2.6684791395567498,5.793200419205147,76
